Date,Open,High,Low,Close,Volume
2020-05-24,3363.55,3403.97,3235.06,3241.78,61958955008
2020-05-23,3364.18,3414.76,3315.75,3362.43,53118619648
2020-05-22,3266.28,3393.71,3230.52,3363.76,59971682304
2020-05-21,3415.89,3445.49,3179.7,3266.44,71398170624
2020-05-20,3453.8,3503.9,3362.61,3415.66,68692594688
2020-05-19,3454.91,3488.56,3378.49,3454.54,71568982016
2020-05-18,3389.66,3512.15,3366.19,3454.54,77048840192
2020-05-17,3325.55,3446.49,3311.71,3388.15,82321440768
2020-05-16,3289.53,3374.37,3258.12,3325.4,71257088000
2020-05-15,3381.95,3409.54,3251.11,3289.27,83300130816
2020-05-14,3303.94,3418.68,3264.68,3381.92,106833461248
2020-05-13,3202.45,3338.46,3182.94,3306.71,84253081600
2020-05-12,3125.59,3254.33,3103.07,3202.23,80093069312
2020-05-11,3174.95,3242.92,3012.18,3122.58,106420019200
2020-05-10,3491.29,3495.22,3034.9,3174.53,99096502272
2020-05-09,3533.19,3604.15,3459.2,3490.92,108074860544
2020-05-08,3494.82,3595.46,3439.58,3535.47,95458975744
2020-05-07,3360.19,3533.85,3308.62,3497.47,111937060864
2020-05-06,3350.74,3461.55,3311.69,3359.6,97924775936
2020-05-05,3361.66,3421,3303.77,3352.27,86023995392
2020-05-04,3377.16,3410.2,3231.44,3362.31,90403495936
2020-05-03,3450.75,3508.71,3339.27,3377.35,92691496960
2020-05-02,3397.11,3470.68,3364.15,3451.38,87813857280
2020-05-01,3307.12,3465.68,3302.56,3396.62,88946638848
2020-04-30,3435.27,3608.25,3268.4,3304.78,126967955456
2020-04-29,3176.3,3465.07,3157.95,3435.94,123077967872
2020-04-28,3134.08,3195.2,3093.33,3174.48,76602384384
2020-04-27,3120.75,3173.7,3061.11,3133.48,76309159936
2020-04-26,3083.23,3154.07,3057.82,3120.23,79997935616
2020-04-25,3049.48,3127.02,3021.8,3083.89,75189010432
2020-04-24,2978.08,3088.13,2970.73,3049.39,72426274816
2020-04-23,2889.74,3026.47,2857.15,2976.44,76413861888
2020-04-22,2775.1,2910.92,2760.55,2888.55,89993453568
2020-04-21,2767.89,2814.58,2737.46,2776.43,70352715776
2020-04-20,2898.65,2961.78,2741.96,2770.77,84878393344
2020-04-19,2959.19,2989.56,2878.14,2900.23,74145652736
2020-04-18,2839.44,2976.15,2832.86,2958.72,75696611328
